100;0;57.1429
98;0;53.4058
96;0;56.293
94;0;51.0686
92;0;49.4313
90;0;51.4561
88;0;51.856
86;0;48.194
84;0;46.1567
82;0;44.382
80;0;43.9945
78;0;41.5823
76;0;42.3572
74;0;47.9565
72;0;38.0702
70;0;37.6828
68;0;46.1317
66;1;33.7708
64;4;27.5716
62;2;34.4082
60;3;30.1087
58;4;27.0841
56;7;28.4214
54;9;20.7599
52;18;20.4474
50;50;11.0236
48;19;16.148
46;26;12.136
44;62;10.2112
42;121;3.9745
40;237;0.187477
38;343;0.849894
36;676;0.362455
34;836;0.124984
32;1053;0.599925
30;1473;0
28;1606;0
26;1624;0
24;1920;0.0999875
22;2002;0
20;2271;0.187477
18;2466;0
16;2591;0.112486
14;2854;0
12;3040;0
10;3272;0
